Fecha,Gasolina regular,Gasolina superior,Diesel
2000-01-01,202645.2,308156.82,634667.06
2000-02-01,205530.96,307766.31,642380.66
2000-03-01,229499.56,331910.29,699807.25
2000-04-01,210680.4,315648.08,586803.98
2000-05-01,208164.34,319667.97,656948.2
2000-06-01,195088.74,300347.7,570919.88
2000-07-01,204556.77,308305.93,576436.02
2000-08-01,218388.51,323011.86,593770.77
2000-09-01,213906.96,326455.72,590145.4
2000-10-01,213606.65,323843.63,641113.36
2000-11-01,209227.48,320788.08,657086.3
2000-12-01,230020.7,366987.56,673282.26
2001-01-01,164547.3516666666,300242.7816666665,569328.7870238096
2001-02-01,174838.8116666666,301483.401666666,597749.8317857146
2001-03-01,201992.6516666666,355572.831666666,736085.9732142859
2001-04-01,198683.3916666666,355826.761666666,606257.6589285719
2001-05-01,182504.09166666662,336040.041666666,664082.6575
2001-06-01,201379.4816666666,308804.7016666665,559333.0336904764
2001-07-01,214980.2416666666,350501.971666667,589452.7346428575
2001-08-01,204646.771666667,348414.6516666665,568546.3746428574
2001-09-01,188292.3516666666,324393.9616666665,533108.3946428574
2001-10-01,225240.9516666666,366261.631666666,603371.1846428574
2001-11-01,210324.9516666666,351890.631666666,626156.1846428574
2001-12-01,223209.9516666666,403561.631666666,664190.1846428574
2002-01-01,200309.85166666665,368935.52583333326,726672.5991666663
2002-02-01,183119.34166666665,348917.78583333327,694344.7791666662
2002-03-01,212711.71166666664,385044.96583333326,656379.2891666662
2002-04-01,204765.62166666664,379741.9758333333,683646.1691666662
2002-05-01,201083.51166666663,375054.63583333325,707165.4691666663
2002-06-01,187629.42166666663,371138.58583333326,667820.7091666663
2002-07-01,201692.64166666663,399944.64583333326,656761.5991666663
2002-08-01,205240.77166666664,392355.6158333333,657099.7391666662
2002-09-01,177614.80166666664,347191.43583333323,653664.5991666663
2002-10-01,203097.24166666664,381595.19583333324,653053.2691666662
2002-11-01,207629.81166666665,384334.21583333326,671401.3291666663
2002-12-01,199619.27166666664,400645.4158333333,676192.4491666663
2003-01-01,193713.62,376516.58,769843.3
2003-02-01,184354.61,355760.81,709783.58
2003-03-01,201443.37,361880.87,786484.49
2003-04-01,219004.31249999997,377395.17,709626.3875
2003-05-01,200407.18,390624.27,755982.05
2003-06-01,168327.72,346941.84,641540.08
2003-07-01,174317.57,377178.84,631704.12
2003-08-01,171665.05,355682.72,613428.55
2003-09-01,174757.95,348659.02,582989.47
2003-10-01,209314.45,392041.78,722763.6
2003-11-01,168510.0,330640.23,639828.39
2003-12-01,196081.99,391327.66,652872.45
2004-01-01,203975.57,381547.72,656987.4
2004-02-01,180290.24,339576.46,659540.43
2004-03-01,206455.62,379687.46,746236.84
2004-04-01,182379.92,357595.81,633766.06
2004-05-01,160741.9,322596.73,556369.7
2004-06-01,164782.5,318811.5,560393.48
2004-07-01,182642.41,346413.66,583098.546
2004-08-01,207432.8,390304.28,699610.8
2004-09-01,194240.55,364689.84,612639.57
2004-10-01,200323.53,380441.55,619084.79
2004-11-01,214509.65,378498.6,705298.16
2004-12-01,236733.03,429109.1,761864.3
2005-01-01,209901.6,321382.14,724692.36
2005-02-01,198775.61,375768.83,717116.77
2005-03-01,231358.58,410241.928,802139.58
2005-04-01,225644.89,389737.16,803996.93
2005-05-01,187048.26,343762.52,715360.44
2005-06-01,202161.79,351906.82,681743.36
2005-07-01,213821.77,389172.65,678614.47
2005-08-01,212696.38,396871.12,693681.13
2005-09-01,196776.87,378887.62,666258.37
2005-10-01,192270.24,328052.56,589830.24
2005-11-01,185251.12,360869.14,701255.47
2005-12-01,241035.13,448688.52,775027.2
2006-01-01,211152.72,382078.88,750946.36
2006-02-01,200551.4,367944.25,734530.76
2006-03-01,233082.86,427567.58,875047.29
2006-04-01,223479.45,392050.29,711185.23
2006-05-01,222710.9,379832.55,734289.15
2006-06-01,196511.22,364359.35,672428.87
2006-07-01,210255.7,392252.91,684438.7
2006-08-01,211202.14,394585.28,707219.69
2006-09-01,204369.99,382724.97,650791.38
2006-10-01,203061.39,400793.81,683543.13
2006-11-01,205541.91,401922.57,739181.99
2006-12-01,233936.83,454373.13,776330.26
2007-01-01,216560.79,418412.86,810372.66
2007-02-01,204991.91,401425.14,799394.6
2007-03-01,239019.91,454731.09,956680.19
2007-04-01,217536.23,403732.56,758988.58
2007-05-01,224400.73,426414.71,811703.69
2007-06-01,217473.91,390991.36,720896.77
2007-07-01,219874.23,416497.41,721550.61
2007-08-01,236565.57,411088.53,736620.9
2007-09-01,207241.84,390568.99,669587.88
2007-10-01,224750.77,419001.81,738702.86
2007-11-01,218116.79,417490.77,779547.05
2007-12-01,252394.11428571425,438542.79333333333,768886.87
2008-01-01,213645.39,403266.74,797668.91
2008-02-01,215873.67,407735.55,794000.25
2008-03-01,233761.07,424157.28,776026.79
2008-04-01,233687.28,399193.53,807725.77
2008-05-01,236635.85,390882.63,682326.18
2008-06-01,200656.57,337464.32,507662.65
2008-07-01,228640.21,374847.05,544399.26
2008-08-01,227499.0,378363.76,556174.4
2008-09-01,218214.64,367962.73,557802.62
2008-10-01,238955.44,386430.4,617863.13
2008-11-01,238626.16,375438.69,688104.11
2008-12-01,298245.47,463343.73,778953.84
2009-01-01,273494.16,424264.5,800526.47
2009-02-01,254667.7,424438.71,795050.51
