Fecha,Gasolina regular,Gasolina superior,Diesel
2001-01-01,177776.5,373963.96,566101.99
2001-02-01,123115.99,243091.07,489525.8
2001-03-01,161726.42,312084.38,575559.68
2001-04-01,127338.74,285054.89,437745.42
2001-05-01,168730.19,300913.67,552609.13
2001-06-01,152899.09,333217.19,497855.26
2001-07-01,136299.13,195071.86,302350.02
2001-08-01,139365.07,268153.26,464159.13
2001-09-01,233643.75,308439.07,321952.94
2001-10-01,141550.22,305102.28,438989.55
2001-11-01,165841.46,256638.19,440245.35
2001-12-01,149217.67,277145.05,479983.27
2002-01-01,178585.93,271479.0,500041.32
2002-02-01,144447.25,365657.75,686923.83
2002-03-01,104673.64,246292.6,432538.46
2002-04-01,190339.0,310256.3,424667.36
2002-05-01,194830.1,363311.76,497781.66
2002-06-01,137050.8,250123.19,496826.62
2002-07-01,222408.0,428842.8,636727.84
2002-08-01,143795.0,298280.33,346225.0
2002-09-01,156956.9,331053.7,638933.22
2002-10-01,195426.8,352055.5,703749.81
2002-11-01,153185.7,291188.76,573289.5
2002-12-01,167596.71,440677.81,678749.64
2003-01-01,228269.5,425185.5,797344.38
2003-02-01,214490.7,443849.85,765912.66
2003-03-01,161257.48,363352.66,693942.31
2003-04-01,189824.89299999998,335444.69,873103.0959999998
2003-05-01,269981.86,459025.69,625190.08
2003-06-01,182254.23,372486.53,671882.83
2003-07-01,133668.2,400922.97,822014.55
2003-08-01,169903.86,292365.04,494087.13
2003-09-01,177217.53,398192.16,614913.68
2003-10-01,181668.026,260219.92,433084.99
2003-11-01,205624.08,393951.96,627189.78
2003-12-01,161477.73,296780.15,745524.88
2004-01-01,173427.23,368235.14,762385.45
2004-02-01,147939.23,281891.97,460947.5
2004-03-01,275539.38,486880.82,772128.26
2004-04-01,245156.34,415426.0,809194.95
2004-05-01,178387.8,350052.95,634209.64
2004-06-01,133341.0,311238.01,461381.79
2004-07-01,152075.75,249710.68699999998,467154.31
2004-08-01,208592.85,434578.12,669462.53
2004-09-01,218499.24,420550.29,714039.85
2004-10-01,201907.67,366886.3,655715.05
2004-11-01,215838.32,434710.94,726697.88
2004-12-01,227094.71,433149.96,781266.61
2005-01-01,202374.33,257867.99,663058.79
2005-02-01,178104.72,306660.39,683664.39
2005-03-01,217667.69,431907.81,778645.07
2005-04-01,234492.03,534151.81,708164.74
2005-05-01,192734.4,378616.3,875087.62
2005-06-01,243343.68,537398.43,1041016.72
2005-07-01,175946.3,363410.9,770731.74
2005-08-01,173810.38,566618.55,815435.2
2005-09-01,81015.3,193484.5,229764.74
2005-10-01,145325.65,528877.09,671848.94
2005-11-01,266018.37,348687.81,635553.46
2005-12-01,107374.0,360807.0,1212610.53
2006-01-01,348503.85,711860.77,708730.84
2006-02-01,145048.2,262170.9,767710.63
2006-03-01,285783.25,408065.34,744721.94
2006-04-01,238824.61,421300.82,935306.58
2006-05-01,134212.3,312024.7,822556.45
2006-06-01,211562.74,394014.85,361207.59
2006-07-01,180942.18,375951.16,971716.72
2006-08-01,147245.49,313326.86,603747.33
2006-09-01,366193.77,525623.15,473431.31
2006-10-01,153997.35,285505.0,1220719.64
2006-11-01,171327.01,428590.5,431874.86
2006-12-01,234319.3,395132.09,890336.68
2007-01-01,289550.59,523730.31,818060.57
2007-02-01,299077.04,401855.41,822325.65
2007-03-01,326317.75,541817.85,569451.85
2007-04-01,94844.9,203441.33,850138.11
2007-05-01,238404.83,545587.63,793887.04
2007-06-01,170064.98,441537.39,855757.14
2007-07-01,227660.47,451180.82,1118432.25
2007-08-01,351306.27,501840.27,824047.47
2007-09-01,181015.83,336120.81,497008.84
2007-10-01,312120.18,376377.75,885924.86
2007-11-01,289282.55,512550.51,665114.83
2007-12-01,222108.35,542916.97,812776.59
2008-01-01,107885.65,204788.3,613819.33
2008-02-01,234830.1,545139.83,500922.23
2008-03-01,241800.33,405713.48,1095743.35
2008-04-01,271554.27,570256.98,682042.07
2008-05-01,242628.16,424954.88,710464.76
2008-06-01,177838.7,273398.73,817804.84
2008-07-01,232129.2,384549.7,541486.15
2008-08-01,138376.72,241881.47,713650.52
2008-09-01,290621.26,423244.17,544521.54
2008-10-01,358036.44,329762.3,344273.02
2008-11-01,170365.32,386365.05,809439.42
2008-12-01,238398.92,458949.42,524038.42
2009-01-01,202484.53476190477,382300.56000000006,941535.7100000001
2009-02-01,588346.36,522820.81000000006,914059.3999999999
2009-03-01,298459.25,626630.99,893473.7999999999
2009-04-01,182218.95999999996,348267.66000000003,816840.02
2009-05-01,377337.48000000004,341700.48,621339.9299999999
2009-06-01,363676.29,589337.79,735260.51
2009-07-01,363911.51,337172.65,850806.89
2009-08-01,210495.68,476525.3599999999,842742.17
2009-09-01,161783.68,321728.95,611966.22
2009-10-01,375067.23,639524.61,869366.3099999999
2009-11-01,201213.1,321859.44,894309.88
2009-12-01,291525.48,435416.17999999993,1144960.66
2010-01-01,173918.35,318949.72,905803.65
2010-02-01,336005.72,492452.55,447271.92000000004
2010-03-01,157798.77,303762.94,947702.8799999999
2010-04-01,433108.23,562996.07,613011.2100000001
2010-05-01,279926.94999999995,429729.38,1086036.16
2010-06-01,281834.46,464310.8,587828.26
2010-07-01,241994.24000000002,456588.39,712889.9299999999
2010-08-01,282509.24,475714.12,637252.29
2010-09-01,208796.02,321134.56,741721.4199999999
2010-10-01,392100.62,493794.29,630692.56
2010-11-01,139547.72999999998,241062.75999999995,565627.54
2010-12-01,430857.95000000007,652210.77,1135293.92
2011-01-01,253700.82,391997.54000000004,1033948.69
2011-02-01,343582.85,437769.48000000004,772775.58
2011-03-01,291087.16,445920.27,707536.31
2011-04-01,326003.70999999996,357349.67,767445.36
2011-05-01,326566.61,433038.13,918940.4399999998
2011-06-01,230990.13,354604.94,553883.4199999999
2011-07-01,188581.4,369694.76,734958.54
2011-08-01,201844.49000000005,270765.31,1014324.2799999999
2011-09-01,260669.22,335803.82,795554.7100000001
2011-10-01,239711.90999999997,351555.66000000003,612133.26
2011-11-01,237803.48,450212.80000000005,575406.4800000001
2011-12-01,367820.54,534925.36,732921.03
2012-01-01,318283.44,434648.17,790123.23
2012-02-01,253583.96,372893.49,887963.98
2012-03-01,255492.16,354160.85000000003,978693.2899999999
2012-04-01,189948.79,399701.69,697871.28
2012-05-01,241786.29,380531.85000000003,833370.09
2012-06-01,320566.69,550379.3300000001,767124.6499999999
2012-07-01,142232.47,271509.2,1021995.9
2012-08-01,263677.23,361307.2,626706.23
2012-09-01,201347.56,372989.29,619651.27
2012-10-01,374301.51,600094.0299999999,463054.77
2012-11-01,197398.8,359818.54000000004,538552.89
2012-12-01,287980.58,419029.17,1324780.96
2013-01-01,396416.83999999997,433924.69,749266.6799999999
2013-02-01,235502.58000000002,470483.98,709843.02
2013-03-01,439386.62,429974.17,832627.57
2013-04-01,274680.65,430259.18000000005,860094.78
2013-05-01,281823.2,532379.66,1202187.85
2013-06-01,293808.6,284038.03,729711.88
2013-07-01,259025.83000000002,486075.06,693160.4999999999
2013-08-01,221433.2,347066.11000000004,505133.44
2013-09-01,300794.99,373303.30999999994,803626.9800000001
2013-10-01,281168.85,372946.32999999996,980327.9800000001
2013-11-01,390941.15,496029.72,903218.47
2013-12-01,210096.78,358799.63999999996,791698.89
2014-01-01,487880.79000000004,457365.45999999996,1595698.5599999998
2014-02-01,312423.86000000004,455726.06,688703.18
2014-03-01,472437.63,582572.93,1147182.5
2014-04-01,207049.0,270302.22,845051.33
2014-05-01,417767.24,563319.79,1008148.0700000001
2014-06-01,247114.99,404603.55,694920.6799999999
2014-07-01,454196.13,558403.4099999999,845875.8599999999
2014-08-01,305285.53,398563.48000000004,760353.3700000001
2014-09-01,378741.55999999994,547486.22,598145.89
2014-10-01,256340.49000000002,379572.07,762763.24
2014-11-01,372809.93000000005,533524.4,1033873.16
2014-12-01,491072.11000000004,583081.5700000001,1004032.65
2015-01-01,371420.59,471973.3,1324421.9600000002
2015-02-01,548714.53,664315.85,955286.0199999999
2015-03-01,453536.19,622883.1000000001,1164885.97
2015-04-01,537064.59,599558.55,1130870.79
2015-05-01,534049.2799999999,618319.2100000001,954782.75
2015-06-01,394824.32999999996,525280.85,862071.77
2015-07-01,519374.14999999997,616269.01,1149630.4300000002
